reaction_split,split_type,split_level,Symptom_ID,Symptom,Observation,Hypothesis,Experiment,additional_details,representative_entries,source_json,n_entries
Acid to acid chloride,reaction_class,3,1,Viscous slurry / poor mixing,"A thick, gel-like slurry forms during reagent addition (e.g., when the acid-chloride mixture is charged to the substrate solution), making stirring difficult and causing ""clumping"" of solids.","change_of_addition_order_or_feed_profile, solvent_change_for_solubility, improved_mixing_or_impeller_design - changing the feed sequence, selecting a solvent that keeps the reaction mixture fluid, and/or upgrading the agitation hardware will keep the slurry homogenous and improve conversion.","A DoE was run varying (i) the addition direction (substrate into acid vs. acid into substrate), (ii) the reactor temperature (-10 °C -> 0 °C) and (iii) the impeller type (standard vs. high-shear). The optimal condition was inverse addition of the substrate into a pre-cooled acid stream with a high-shear impeller, which eliminated clumps and gave >95 % conversion.","The symptom becomes more pronounced above ~10 kg scale where heat removal is slower; the same strategy works in both batch and continuous-flow impinging-jet reactors. Monitoring slurry viscosity in-line (e.g., torque on the motor) can be used as an early warning.","19060, 2627, 2628, 2630, 2634",scaleup_generalized_workflow_reaction_class_Acid_to_acid_chloride_runreaction_class_r15.json,184
Acid to acid chloride,reaction_class,3,2,Temperature spike / hot spot,During reagent addition the reactor temperature rises abruptly (10-15 °C above set-point) and sometimes exceeds the temperature limit for the protecting group or acid-labile functionality.,"temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware, pressure_or_gas_headspace_optimization - tighter temperature control, pre-cooling feeds, and better heat-exchange hardware will damp the spike.","A series of temperature-ramp studies were performed in a jacketed reactor: (i) pre-cool the acid stream to -10 °C, (ii) add the substrate over 30 min with a controlled ramp, (iii) install a high-efficiency coil heat-exchanger. The temperature excursion was limited to <2 °C and the epimerisation impurity dropped from 0.3 % to <0.05 %.","The symptom is especially acute for reactions that generate gases (CO₂, H₂) or involve strong acids (HBr, HCl). Real-time temperature monitoring with a PID controller is recommended for scale-up.","2628, 2632, 2629",scaleup_generalized_workflow_reaction_class_Acid_to_acid_chloride_runreaction_class_r15.json,184
Acid to acid chloride,reaction_class,3,3,Clogging / fouling of reactors or mixers,"Solid material builds up in feed lines, static mixers, or Y-junctions, leading to pressure spikes, pump stall, or complete blockage (e.g., ""gel/foam"" trapped in a Y-mixer).","clogging_or_fouling_mitigation, custom_or_novel_reactor_design, improved_mixing_or_impeller_design - redesign the hardware (larger-diameter mixers, smoother surfaces) and/or introduce periodic solvent rinses to keep the flow path clear.","A custom 3-D-printed Y-mixer with enlarged outlet diameter (0.25 in) and Hastelloy construction was fabricated. The process was run with a high-velocity THF rinse (10 L min⁻¹) after each batch. Clogging events dropped from 4 per 10 batches to 0, and overall isolated yield increased from 71 % to 61 % crude assay.","Periodic ""flush"" steps are essential for any continuous-flow operation that generates solids. Monitoring pressure drop across the mixer provides an early indicator of fouling.","11741, 2630, 2631, 2628, 2629",scaleup_generalized_workflow_reaction_class_Acid_to_acid_chloride_runreaction_class_r15.json,184
Acid to acid chloride,reaction_class,3,4,Low conversion / incomplete reaction,Assay yields plateau at 60-80 % despite stoichiometric reagent excess; residual starting acid or intermediate is detected by HPLC.,"optimization_of_reagent_stoichiometry, optimization_of_acid_or_base_stoichiometry, solvent_change_for_solubility - fine-tune the equivalents of acid (e.g., HBr, SOCl₂) and control water content to drive the equilibrium to completion.","A response-surface DoE varied HBr equivalents (4-8 eq) and water content (0-5 vol %). The optimum (8 eq HBr, 2 vol % water) gave >98 % conversion with no detectable intermediate. The same stoichiometry was transferred to a 100 kg batch with consistent results.","The symptom often appears together with viscous slurry formation; increasing reagent load can also raise exotherm risk, so temperature control must be revisited concurrently.","4904, 4905, 4908",scaleup_generalized_workflow_reaction_class_Acid_to_acid_chloride_runreaction_class_r15.json,184
Acid to acid chloride,reaction_class,3,5,Phase-separation / biphasic handling difficulty,"During acid addition a two-phase mixture forms (e.g., aqueous acid over organic solvent) that creates emulsions, uneven feeding, or ""turbid"" streams that are hard to pump.","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, change_of_additive - adjust solvent polarity, add co-solvents to improve miscibility, or use antisolvents that promote rapid phase separation.","A solvent-screening matrix compared pure toluene, toluene + 10 % MeOH, and pure MeOH as reaction media for the thionyl-chloride step. The toluene + 10 % MeOH system eliminated the emulsion, allowed smooth pumping, and maintained >90 % conversion. Inline phase-separator tests confirmed rapid disengagement.","The symptom is often linked to the ""mixability"" category; a simple viscosity measurement or visual inspection of the feed stream can flag it early. Adding a small amount of a polar co-solvent (e.g., MeOH) is a low-cost mitigation.","1038, 1037, 1036",scaleup_generalized_workflow_reaction_class_Acid_to_acid_chloride_runreaction_class_r15.json,184
Alcohol to aldehyde oxidation,reaction_class,3,1,Yield drop on scale,"Isolated yield falls markedly (>= 10 % loss) when the reaction is run beyond
~ 0.1 mol or on kilogram-scale batches.","optimization_of_reagent_stoichiometry, optimization_of_catalyst_loading,
change_of_oxidant_or_oxidation_protocol, temperature_setpoint_or_temperature_ramp_optimization,
solvent_change_for_solubility - increasing oxidant/catalyst equivalents,
adjusting temperature ramps, or switching to a solvent that improves
mass-transfer should restore conversion and prevent side-products.","A DoE screening was performed varying (i) oxidant equivalents (1.0-2.5 eq),
(ii) catalyst loading (5-20 mol %), (iii) temperature profile (-10 °C -> rt
vs. isothermal 25 °C), and (iv) solvent (DCM vs. toluene). The optimal
condition (2.5 eq oxidant, 15 mol % catalyst, controlled-ramp) gave >= 95 %
isolated yield on 150 g scale.","The symptom is more pronounced for substrates with limited solubility; a
solvent-change to a more polar chlorinated medium (e.g., DCM) often
supplements stoichiometric adjustments. Monitoring conversion by inline GC
during scale-up helps catch the drop early.","4668, 2141, 2143, 2159, 2156",scaleup_generalized_workflow_reaction_class_Alcohol_to_aldehyde_oxidation_runreaction_class_r20.json,123
Alcohol to aldehyde oxidation,reaction_class,3,2,Temperature runaway / exotherm,"Rapid temperature rise (>= 10 °C within minutes) or uncontrolled hot spots
during oxidation, often accompanied by pressure increase.","temperature_setpoint_or_temperature_ramp_optimization,
improved_heat_transfer_or_temperature_control_hardware,
thermal_runaway_mitigation_or_quench_safety_modification,
pressure_or_gas_headspace_optimization - applying controlled feeds,
enhanced jacket cooling, DSC-guided safety limits, or vented head-space
prevents temperature spikes.","A calorimetric study (DSC) defined the maximum adiabatic temperature rise.
The batch reactor was equipped with a double-jacket heat exchanger and a
semi-batch H₂O₂ feed (0.5 mL min⁻¹) controlled by a PID loop. Temperature
was held <= 30 °C throughout a 200 g run, eliminating runaway.","For gas-phase oxidants (O₂, air) maintaining O₂ mole fraction below the
limiting-oxygen-concentration (LOC) by diluting with N₂ also curtails
exothermicity. Real-time temperature probes at multiple locations are
essential for early detection.","7577, 1309, 2142, 3186, 8360",scaleup_generalized_workflow_reaction_class_Alcohol_to_aldehyde_oxidation_runreaction_class_r20.json,123
Alcohol to aldehyde oxidation,reaction_class,3,3,Phase separation / poor mixing,"Formation of distinct organic/aqueous layers, gas bubbles, or slurries that
persist despite agitation; conversion drops or becomes erratic.","phase_behavior_or_biphasic_system_optimization,
solvent_change_for_solubility,
change_of_additive,
change_of_catalyst_or_ligand_identity,
improved_mixing_or_impeller_design - redesigning the reactor geometry,
adding co-solvents, using solid-supported TEMPO, or switching to a
single-phase solvent system improves interfacial contact and conversion.","A pilot-scale flow reactor was fitted with a T-shaped static mixer and
peristaltic pumps (instead of syringe pumps). The biphasic DCM/H₂O system
was replaced by a homogeneous NMP/TEMPO system (solid-supported catalyst).
Conversion rose from 55 % to > 95 % with stable pressure and no bubble-induced
fluctuations.","Gas-liquid separators downstream of the reactor (e.g., Microsaic MiDas)
can dampen bubble-induced MS signal noise, as shown for Ru-catalysed flow
oxidations. Monitoring phase ratios by inline NIR helps maintain the optimum
mixing regime.","18343, 21413, 21415, 2157, 2158",scaleup_generalized_workflow_reaction_class_Alcohol_to_aldehyde_oxidation_runreaction_class_r20.json,123
Alcohol to aldehyde oxidation,reaction_class,3,4,Catalyst deactivation over time,"Product yield or selectivity declines after several hours or multiple
batch cycles, despite constant feed composition.","change_of_catalyst_or_ligand_identity,
optimization_of_catalyst_loading,
temperature_setpoint_or_temperature_ramp_optimization,
pressure_or_gas_headspace_optimization - switching to a more robust
catalyst support, increasing catalyst loading, modestly raising temperature
to re-activate the catalyst, or controlling gas composition to limit NOₓ
formation can restore activity.","For the CuI/TEMPO system, the support was changed from γ-Al₂O₃ to mesoporous
alumina, and the O₂ feed was reduced to 5 % in N₂. After a 150 h run, the
aldehyde yield remained > 90 % without the earlier decline observed with the
original catalyst.","Periodic regeneration (e.g., brief oxidative wash) can extend catalyst life.
Online UV-vis monitoring of metal leaching provides early warning of deactivation.","18346, 18345, 18344",scaleup_generalized_workflow_reaction_class_Alcohol_to_aldehyde_oxidation_runreaction_class_r20.json,123
Alcohol to aldehyde oxidation,reaction_class,3,5,Difficult impurity removal,"Work-up requires multiple extractions, chromatography, or special quench
steps to eliminate metal residues, by-products, or inorganic salts; yields
are lost in the purification stage.","improved_impurity_purge_or_byproduct_control,
improved_quench_or_neutralization,
drying_or_isolation_process_optimization,
crystallization_solvent_or_antisolvent_optimization,
improved_in_process_control_or_analytical_method - introducing chelating
quench (EDTA), phase-selective extractions, or crystallisation from a
co-solvent can purge impurities efficiently and improve overall recovery.","In the Cu/TEMPO oxidation, an aqueous EDTA wash (0.1 M) was added post-reaction,
followed by a single liquid-liquid extraction with EtOAc. Copper levels fell
below 1 ppm and isolated aldehyde yield increased from 78 % to 92 % without
chromatography.","For reactions forming volatile aldehydes (e.g., 447), telescoping the crude
product directly into the next step avoids isolation altogether. Inline
MS monitoring with external reference standards prevents impurity buildup.","8178, 8358, 4211, 4212, 4213",scaleup_generalized_workflow_reaction_class_Alcohol_to_aldehyde_oxidation_runreaction_class_r20.json,123
